                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.74419,                 1.9487,                 1.2089,                 0.7364,                0.08353,                 0.1001,                0.08278,                    nan,                    nan,                    nan,              0.0001585,              0.0001585,              0.0001585
                     88,                0.75137,                 1.9977,                 1.1978,                0.93678,                0.02797,                0.05814,                0.05232,                    nan,                    nan,                    nan,              0.0001486,              0.0001486,              0.0001486
                     89,                0.74576,                 1.9787,                 1.1998,                0.94132,                0.02797,                0.05438,                0.04894,                    nan,                    nan,                    nan,              0.0001387,              0.0001387,              0.0001387
                     90,                0.73398,                 1.9437,                  1.178,                0.92127,                0.02797,                0.05451,                0.05185,                    nan,                    nan,                    nan,              0.0001288,              0.0001288,              0.0001288
                     91,                0.70345,                 2.1029,                 1.1069,                0.96139,                0.02797,                0.06016,                0.05414,                    nan,                    nan,                    nan,              0.0001189,              0.0001189,              0.0001189
                     92,                 0.6802,                 2.0046,                 1.1329,                0.69413,                0.02797,                0.04633,                0.04391,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
                     93,                 0.6643,                 2.0166,                 1.1336,                0.92677,                0.02797,                0.04871,                0.04638,                    nan,                    nan,                    nan,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.63284,                 1.9452,                 1.0981,                0.94041,                0.02797,                0.05212,                0.04971,                    nan,                    nan,                    nan,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.62894,                 1.9957,                 1.1111,                0.75949,                0.08353,                0.10168,                0.08553,                    nan,                    nan,                    nan,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.64612,                 1.9906,                 1.0797,                0.56887,                0.04079,                0.06204,                0.05279,                    nan,                    nan,                    nan,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.63513,                 1.9504,                  1.098,                0.92772,                0.02797,                0.05837,                0.05253,                    nan,                    nan,                    nan,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.62698,                 1.9443,                 1.0814,                0.68174,                0.04079,                0.06116,                0.05504,                    nan,                    nan,                    nan,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.62285,                 1.9169,                 1.1001,                0.36569,                0.09635,                0.11342,                0.08903,                    nan,                    nan,                    nan,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.62609,                 1.9021,                 1.0837,                0.69425,                0.08353,                0.10679,                0.08507,                    nan,                    nan,                    nan,               2.98e-05,               2.98e-05,               2.98e-05
